...1,Timestamp,Air TempC.x,VPD.x,Vapor Pressure.x,Atmos Pressure.x,Solar,Wetness Level 1,Wetness Level 2,Air TempC.y,Atmos Pressure.y,VPD.y,Vapor Pressure.y,Atmos.Pressure,Air.TempC,VPD,Vapor.Pressure,Wetness.Level.1,Wetness.Level.2
1,2024-04-10T04:45:00Z,NA,NA,NA,NA,0,629,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-04-10T05:00:00Z,NA,NA,NA,NA,0,696,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-04-10T05:15:00Z,NA,NA,NA,NA,0,706,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-04-10T05:30:00Z,NA,NA,NA,NA,0,696,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-04-10T05:45:00Z,NA,NA,NA,NA,0,840,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-04-10T06:00:00Z,NA,NA,NA,NA,0,799,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-04-10T06:15:00Z,NA,NA,NA,NA,0,706,514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-04-10T06:30:00Z,NA,NA,NA,NA,0,813,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-04-10T06:45:00Z,NA,NA,NA,NA,0,822,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-04-10T07:00:00Z,NA,NA,NA,NA,0,735,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2024-04-10T07:15:00Z,NA,NA,NA,NA,0,651,522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2024-04-10T07:30:00Z,NA,NA,NA,NA,5.7,684,525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2024-04-10T07:45:00Z,NA,NA,NA,NA,11.7,652,520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2024-04-10T08:00:00Z,NA,NA,NA,NA,14.1,640,521,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2024-04-10T08:15:00Z,NA,NA,NA,NA,29.1,628,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2024-04-10T08:30:00Z,NA,NA,NA,NA,36.4,615,512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2024-04-10T08:45:00Z,NA,NA,NA,NA,37.2,606,509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2024-04-10T09:00:00Z,NA,NA,NA,NA,38.1,602,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2024-04-10T09:15:00Z,NA,NA,NA,NA,60.6,595,506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2024-04-10T09:30:00Z,NA,NA,NA,NA,65.9,590,505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2024-04-10T09:45:00Z,NA,NA,NA,NA,83.1,587,504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,2024-04-10T10:00:00Z,NA,NA,NA,NA,124.7,585,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,2024-04-10T10:15:00Z,NA,NA,NA,NA,80.7,580,499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,2024-04-10T10:30:00Z,NA,NA,NA,NA,73.8,577,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,2024-04-10T10:45:00Z,NA,NA,NA,NA,99.4,574,496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,2024-04-10T11:00:00Z,NA,NA,NA,NA,102.7,571,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,2024-04-10T11:15:00Z,NA,NA,NA,NA,115.4,566,494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,2024-04-10T11:30:00Z,NA,NA,NA,NA,289.9,558,492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,2024-04-10T11:45:00Z,NA,NA,NA,NA,348.4,543,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
