...1,Timestamp,Air TempC,VPD,Vapor Pressure,Atmos Pressure,Solar,Wetness Level 1,Wetness Level 2,Air.TempC,Atmos.Pressure,Vapor.Pressure,Wetness.Level.1,Wetness.Level.2
NA,2024-05-10T04:15:00Z,NA,0.12,NA,NA,0,NA,NA,14.7,96.56,1.558,446,450
NA,2024-05-10T04:30:00Z,NA,0.1,NA,NA,0,NA,NA,14.5,96.55,1.545,447,451
NA,2024-05-10T04:45:00Z,NA,0.09,NA,NA,0,NA,NA,14.3,96.56,1.547,448,451
NA,2024-05-10T05:00:00Z,NA,0.07,NA,NA,0,NA,NA,14.2,96.57,1.553,449,452
NA,2024-05-10T05:15:00Z,NA,0.06,NA,NA,0,NA,NA,14.1,96.55,1.545,450,452
NA,2024-05-10T05:30:00Z,NA,0.06,NA,NA,0,NA,NA,14,96.53,1.541,447,451
NA,2024-05-10T05:45:00Z,NA,0.06,NA,NA,0,NA,NA,14,96.52,1.533,453,452
NA,2024-05-10T06:00:00Z,NA,0.05,NA,NA,0,NA,NA,13.9,96.52,1.538,446,451
NA,2024-05-10T06:15:00Z,NA,0.06,NA,NA,0,NA,NA,14.2,96.55,1.554,446,451
NA,2024-05-10T06:30:00Z,NA,0.08,NA,NA,0,NA,NA,14.1,96.57,1.527,451,452
NA,2024-05-10T06:45:00Z,NA,0.06,NA,NA,0,NA,NA,13.8,96.59,1.514,447,452
NA,2024-05-10T07:00:00Z,NA,0.05,NA,NA,6.4,NA,NA,14,96.6,1.541,446,451
NA,2024-05-10T07:15:00Z,NA,0.07,NA,NA,11.2,NA,NA,14.5,96.61,1.587,445,450
NA,2024-05-10T07:30:00Z,NA,0.12,NA,NA,20.7,NA,NA,14.9,96.62,1.579,445,450
NA,2024-05-10T07:45:00Z,NA,0.16,NA,NA,23.1,NA,NA,15.2,96.62,1.564,444,449
NA,2024-05-10T08:00:00Z,NA,0.17,NA,NA,24.5,NA,NA,15.1,96.62,1.543,444,449
NA,2024-05-10T08:15:00Z,NA,0.19,NA,NA,36.8,NA,NA,15.1,96.63,1.525,444,449
NA,2024-05-10T08:30:00Z,NA,0.23,NA,NA,72.7,NA,NA,15.3,96.64,1.503,443,448
NA,2024-05-10T08:45:00Z,NA,0.27,NA,NA,48.9,NA,NA,15.5,96.66,1.488,443,448
NA,2024-05-10T09:00:00Z,NA,0.27,NA,NA,30.8,NA,NA,15.3,96.69,1.466,443,448
NA,2024-05-10T09:15:00Z,NA,0.28,NA,NA,71,NA,NA,15.4,96.7,1.471,443,447
NA,2024-05-10T09:30:00Z,NA,0.29,NA,NA,46.1,NA,NA,15.6,96.71,1.477,443,448
NA,2024-05-10T09:45:00Z,NA,0.28,NA,NA,41.7,NA,NA,15.3,96.72,1.46,443,448
NA,2024-05-10T10:00:00Z,NA,0.27,NA,NA,41,NA,NA,15.2,96.71,1.449,443,448
NA,2024-05-10T10:15:00Z,NA,0.3,NA,NA,75.8,NA,NA,15.4,96.71,1.445,442,447
NA,2024-05-10T10:30:00Z,NA,0.32,NA,NA,68.7,NA,NA,15.4,96.73,1.427,442,447
NA,2024-05-10T10:45:00Z,NA,0.33,NA,NA,63.9,NA,NA,15.3,96.75,1.408,442,447
NA,2024-05-10T11:00:00Z,NA,0.32,NA,NA,44.9,NA,NA,15.2,96.77,1.403,443,447
