...1,Timestamp,Air TempC,VPD,Vapor Pressure,Atmos Pressure,Wetness Level 2,Solar,Wetness Level 1,Atmos.Pressure,Air.TempC,Vapor.Pressure,Wetness.Level.2,Wetness.Level.1
NA,2024-05-10T04:15:00Z,NA,0.31,NA,NA,NA,0,NA,96.01,16.2,1.539,439,448
NA,2024-05-10T04:30:00Z,NA,0.27,NA,NA,NA,0,NA,96,15.8,1.527,439,449
NA,2024-05-10T04:45:00Z,NA,0.25,NA,NA,NA,0,NA,96.01,15.6,1.515,439,448
NA,2024-05-10T05:00:00Z,NA,0.28,NA,NA,NA,0,NA,96.02,15.8,1.512,439,448
NA,2024-05-10T05:15:00Z,NA,0.31,NA,NA,NA,0,NA,96.01,16,1.503,439,448
NA,2024-05-10T05:30:00Z,NA,0.3,NA,NA,NA,0,NA,95.99,15.9,1.502,439,448
NA,2024-05-10T05:45:00Z,NA,0.25,NA,NA,NA,0,NA,95.98,15.4,1.504,440,449
NA,2024-05-10T06:00:00Z,NA,0.2,NA,NA,NA,0,NA,95.98,15,1.496,439,449
NA,2024-05-10T06:15:00Z,NA,0.22,NA,NA,NA,0,NA,96,15.3,1.513,439,449
NA,2024-05-10T06:30:00Z,NA,0.2,NA,NA,NA,0,NA,96.02,15.2,1.521,440,449
NA,2024-05-10T06:45:00Z,NA,0.18,NA,NA,NA,0,NA,96.04,15,1.525,440,449
NA,2024-05-10T07:00:00Z,NA,0.17,NA,NA,NA,5.9,NA,96.05,15,1.539,440,449
NA,2024-05-10T07:15:00Z,NA,0.16,NA,NA,NA,9.3,NA,96.06,15,1.534,440,449
NA,2024-05-10T07:30:00Z,NA,0.16,NA,NA,NA,19,NA,96.07,14.8,1.523,440,449
NA,2024-05-10T07:45:00Z,NA,0.17,NA,NA,NA,20.3,NA,96.07,14.8,1.522,440,449
NA,2024-05-10T08:00:00Z,NA,0.17,NA,NA,NA,21.8,NA,96.07,14.7,1.507,440,449
NA,2024-05-10T08:15:00Z,NA,0.18,NA,NA,NA,31.5,NA,96.08,14.7,1.49,439,449
NA,2024-05-10T08:30:00Z,NA,0.21,NA,NA,NA,74,NA,96.09,14.7,1.46,439,448
NA,2024-05-10T08:45:00Z,NA,0.24,NA,NA,NA,43.6,NA,96.11,15,1.459,439,448
NA,2024-05-10T09:00:00Z,NA,0.24,NA,NA,NA,27.5,NA,96.14,14.7,1.434,439,449
NA,2024-05-10T09:15:00Z,NA,0.24,NA,NA,NA,75.3,NA,96.15,14.9,1.45,439,448
NA,2024-05-10T09:30:00Z,NA,0.27,NA,NA,NA,42.8,NA,96.16,15.1,1.445,439,448
NA,2024-05-10T09:45:00Z,NA,0.25,NA,NA,NA,37.5,NA,96.16,14.9,1.44,439,448
NA,2024-05-10T10:00:00Z,NA,0.24,NA,NA,NA,35.9,NA,96.16,14.7,1.429,439,448
NA,2024-05-10T10:15:00Z,NA,0.27,NA,NA,NA,64.8,NA,96.15,14.7,1.405,439,448
NA,2024-05-10T10:30:00Z,NA,0.29,NA,NA,NA,61.9,NA,96.17,14.8,1.399,439,448
NA,2024-05-10T10:45:00Z,NA,0.29,NA,NA,NA,58.8,NA,96.2,14.8,1.386,439,448
NA,2024-05-10T11:00:00Z,NA,0.29,NA,NA,NA,41.9,NA,96.21,14.7,1.381,439,448
NA,2024-05-10T11:15:00Z,NA,0.27,NA,NA,NA,24,NA,96.24,14.1,1.343,439,449
NA,2024-05-10T11:30:00Z,NA,0.22,NA,NA,NA,46.7,NA,96.26,13.2,1.3,440,450
NA,2024-05-10T11:45:00Z,NA,0.2,NA,NA,NA,77.6,NA,96.27,13.2,1.323,439,448
NA,2024-05-10T12:00:00Z,NA,0.23,NA,NA,NA,95.8,NA,96.28,13.7,1.342,439,448
NA,2024-05-10T12:15:00Z,NA,0.27,NA,NA,NA,139.5,NA,96.29,13.9,1.325,438,447
NA,2024-05-10T12:30:00Z,NA,0.36,NA,NA,NA,212.8,NA,96.29,14.9,1.331,438,447
NA,2024-05-10T12:45:00Z,NA,0.37,NA,NA,NA,124.1,NA,96.29,14.8,1.304,438,447
NA,2024-05-10T13:00:00Z,NA,0.38,NA,NA,NA,132,NA,96.3,15,1.322,438,447
NA,2024-05-10T13:15:00Z,NA,0.37,NA,NA,NA,110.4,NA,96.31,14.7,1.303,438,447
