...1,Timestamp,Vapor Pressure,Atmos Pressure,Air TempC,VPD,Solar,Wetness Level 1,Wetness Level 2,Vapor.Pressure,Air.TempC,Atmos.Pressure,Wetness.Level.1,Wetness.Level.2
NA,2024-05-10T04:15:00Z,NA,NA,NA,0.26,0,NA,NA,1.585,16.2,95.92,450,447
NA,2024-05-10T04:30:00Z,NA,NA,NA,0.23,0,NA,NA,1.572,15.9,95.91,450,448
NA,2024-05-10T04:45:00Z,NA,NA,NA,0.22,0,NA,NA,1.564,15.7,95.92,450,448
NA,2024-05-10T05:00:00Z,NA,NA,NA,0.25,0,NA,NA,1.558,15.9,95.93,450,447
NA,2024-05-10T05:15:00Z,NA,NA,NA,0.27,0,NA,NA,1.55,16,95.92,450,447
NA,2024-05-10T05:30:00Z,NA,NA,NA,0.24,0,NA,NA,1.548,15.8,95.89,450,448
NA,2024-05-10T05:45:00Z,NA,NA,NA,0.2,0,NA,NA,1.542,15.3,95.88,451,448
NA,2024-05-10T06:00:00Z,NA,NA,NA,0.17,0,NA,NA,1.55,15.1,95.88,451,448
NA,2024-05-10T06:15:00Z,NA,NA,NA,0.17,0,NA,NA,1.559,15.3,95.91,451,448
NA,2024-05-10T06:30:00Z,NA,NA,NA,0.14,0,NA,NA,1.566,15.1,95.93,451,448
NA,2024-05-10T06:45:00Z,NA,NA,NA,0.12,0,NA,NA,1.571,14.9,95.95,451,448
NA,2024-05-10T07:00:00Z,NA,NA,NA,0.11,10.6,NA,NA,1.58,14.9,95.96,451,448
NA,2024-05-10T07:15:00Z,NA,NA,NA,0.11,16.8,NA,NA,1.581,14.8,95.97,451,448
NA,2024-05-10T07:30:00Z,NA,NA,NA,0.11,32.8,NA,NA,1.567,14.7,95.97,451,448
NA,2024-05-10T07:45:00Z,NA,NA,NA,0.12,36.6,NA,NA,1.567,14.8,95.98,451,448
NA,2024-05-10T08:00:00Z,NA,NA,NA,0.11,37.5,NA,NA,1.549,14.6,95.97,451,448
NA,2024-05-10T08:15:00Z,NA,NA,NA,0.12,56.4,NA,NA,1.529,14.5,95.99,451,448
NA,2024-05-10T08:30:00Z,NA,NA,NA,0.17,140.3,NA,NA,1.516,14.8,95.99,450,447
NA,2024-05-10T08:45:00Z,NA,NA,NA,0.2,80.2,NA,NA,1.501,15,96.02,450,448
NA,2024-05-10T09:00:00Z,NA,NA,NA,0.19,47.1,NA,NA,1.476,14.6,96.04,451,448
NA,2024-05-10T09:15:00Z,NA,NA,NA,0.2,170.3,NA,NA,1.493,14.9,96.05,450,447
NA,2024-05-10T09:30:00Z,NA,NA,NA,0.22,79.7,NA,NA,1.487,15,96.06,450,447
NA,2024-05-10T09:45:00Z,NA,NA,NA,0.2,69.2,NA,NA,1.48,14.8,96.06,450,448
NA,2024-05-10T10:00:00Z,NA,NA,NA,0.2,63.9,NA,NA,1.469,14.6,96.06,450,448
NA,2024-05-10T10:15:00Z,NA,NA,NA,0.22,121.4,NA,NA,1.448,14.7,96.06,450,447
NA,2024-05-10T10:30:00Z,NA,NA,NA,0.24,113.2,NA,NA,1.439,14.7,96.08,450,447
NA,2024-05-10T10:45:00Z,NA,NA,NA,0.24,105.7,NA,NA,1.431,14.7,96.1,450,447
NA,2024-05-10T11:00:00Z,NA,NA,NA,0.24,73.2,NA,NA,1.424,14.6,96.11,452,447
NA,2024-05-10T11:15:00Z,NA,NA,NA,0.21,40.6,NA,NA,1.375,13.9,96.15,454,448
NA,2024-05-10T11:30:00Z,NA,NA,NA,0.17,84.6,NA,NA,1.34,13.1,96.17,461,448
NA,2024-05-10T11:45:00Z,NA,NA,NA,0.15,139.7,NA,NA,1.363,13.2,96.18,450,447
NA,2024-05-10T12:00:00Z,NA,NA,NA,0.19,173.6,NA,NA,1.385,13.8,96.19,450,447
NA,2024-05-10T12:15:00Z,NA,NA,NA,0.22,258.9,NA,NA,1.369,13.9,96.2,449,447
NA,2024-05-10T12:30:00Z,NA,NA,NA,0.31,441.1,NA,NA,1.373,14.8,96.19,449,447
NA,2024-05-10T12:45:00Z,NA,NA,NA,0.32,256.7,NA,NA,1.344,14.6,96.19,449,447
NA,2024-05-10T13:00:00Z,NA,NA,NA,0.33,282.2,NA,NA,1.364,14.9,96.2,449,447
NA,2024-05-10T13:15:00Z,NA,NA,NA,0.32,211.3,NA,NA,1.344,14.6,96.21,449,446
NA,2024-05-10T13:30:00Z,NA,NA,NA,0.3,79.1,NA,NA,1.302,14,96.24,450,447
NA,2024-05-10T13:45:00Z,NA,NA,NA,0.27,132,NA,NA,1.3,13.7,96.25,449,447
NA,2024-05-10T14:00:00Z,NA,NA,NA,0.22,82.8,NA,NA,1.294,13.2,96.27,450,447
NA,2024-05-10T14:15:00Z,NA,NA,NA,0.14,123,NA,NA,1.28,12.2,96.3,450,447
NA,2024-05-10T14:30:00Z,NA,NA,NA,0.17,212.8,NA,NA,1.295,12.7,96.3,450,447
NA,2024-05-10T14:45:00Z,NA,NA,NA,0.21,119.4,NA,NA,1.272,12.8,96.31,450,447
NA,2024-05-10T15:00:00Z,NA,NA,NA,0.21,88.1,NA,NA,1.251,12.7,96.33,450,447
NA,2024-05-10T15:15:00Z,NA,NA,NA,0.25,205.6,NA,NA,1.241,13,96.35,449,447
NA,2024-05-10T15:30:00Z,NA,NA,NA,0.3,194.1,NA,NA,1.235,13.4,96.34,449,447
NA,2024-05-10T15:45:00Z,NA,NA,NA,0.3,157.1,NA,NA,1.253,13.6,96.34,449,447
NA,2024-05-10T16:00:00Z,NA,NA,NA,0.32,141,NA,NA,1.292,14.1,96.33,449,446
NA,2024-05-10T16:15:00Z,NA,NA,NA,0.31,135.5,NA,NA,1.264,13.8,96.33,449,446
NA,2024-05-10T16:30:00Z,NA,NA,NA,0.43,683,NA,NA,1.306,15.3,96.3,448,445
NA,2024-05-10T16:45:00Z,NA,NA,NA,0.46,89.2,NA,NA,1.286,15.4,96.32,449,446
NA,2024-05-10T17:00:00Z,NA,NA,NA,0.44,219.7,NA,NA,1.299,15.4,96.32,446,445
NA,2024-05-10T17:15:00Z,NA,NA,NA,0.57,416.6,NA,NA,1.372,17,96.31,444,444
