...1,Timestamp,VPD,Air TempC,Atmos Pressure,Vapor Pressure,Solar,Wetness Level 1,Wetness Level 2,Atmos.Pressure,Air.TempC,Vapor.Pressure,Wetness.Level.1,Wetness.Level.2
NA,2024-05-10T04:15:00Z,0,NA,NA,NA,0,NA,NA,97.52,13.7,1.568,522,478
NA,2024-05-10T04:30:00Z,0,NA,NA,NA,0,NA,NA,97.51,13.5,1.55,525,479
NA,2024-05-10T04:45:00Z,0,NA,NA,NA,0,NA,NA,97.52,13.6,1.558,533,480
NA,2024-05-10T05:00:00Z,0,NA,NA,NA,0,NA,NA,97.52,13.7,1.564,534,480
NA,2024-05-10T05:15:00Z,0,NA,NA,NA,0,NA,NA,97.51,13.6,1.558,538,481
NA,2024-05-10T05:30:00Z,0,NA,NA,NA,0,NA,NA,97.49,13.4,1.536,543,482
NA,2024-05-10T05:45:00Z,0,NA,NA,NA,0,NA,NA,97.48,13.2,1.518,548,484
NA,2024-05-10T06:00:00Z,0,NA,NA,NA,0,NA,NA,97.48,13.2,1.511,551,485
NA,2024-05-10T06:15:00Z,0,NA,NA,NA,0,NA,NA,97.51,13.2,1.518,553,485
NA,2024-05-10T06:30:00Z,0,NA,NA,NA,0,NA,NA,97.53,13.2,1.516,557,487
NA,2024-05-10T06:45:00Z,0,NA,NA,NA,0,NA,NA,97.55,13,1.5,559,487
NA,2024-05-10T07:00:00Z,0,NA,NA,NA,7.1,NA,NA,97.56,13.1,1.507,558,487
NA,2024-05-10T07:15:00Z,0,NA,NA,NA,12.3,NA,NA,97.57,13.3,1.529,557,485
NA,2024-05-10T07:30:00Z,0,NA,NA,NA,22.7,NA,NA,97.58,13.5,1.546,556,484
NA,2024-05-10T07:45:00Z,0,NA,NA,NA,28.9,NA,NA,97.58,13.7,1.565,553,480
NA,2024-05-10T08:00:00Z,0,NA,NA,NA,30,NA,NA,97.58,13.9,1.583,549,475
NA,2024-05-10T08:15:00Z,0,NA,NA,NA,43.9,NA,NA,97.59,14.2,1.62,543,467
NA,2024-05-10T08:30:00Z,0,NA,NA,NA,62.8,NA,NA,97.6,14.6,1.663,533,455
NA,2024-05-10T08:45:00Z,0,NA,NA,NA,60.1,NA,NA,97.62,14.8,1.686,496,449
NA,2024-05-10T09:00:00Z,0.02,NA,NA,NA,39.6,NA,NA,97.65,15.2,1.701,461,449
NA,2024-05-10T09:15:00Z,0.07,NA,NA,NA,98.5,NA,NA,97.66,15.3,1.668,443,448
NA,2024-05-10T09:30:00Z,0.19,NA,NA,NA,66.5,NA,NA,97.66,15.8,1.604,442,448
NA,2024-05-10T09:45:00Z,0.19,NA,NA,NA,55.7,NA,NA,97.67,16,1.626,441,448
NA,2024-05-10T10:00:00Z,0.2,NA,NA,NA,52.9,NA,NA,97.67,15.8,1.599,441,448
NA,2024-05-10T10:15:00Z,0.24,NA,NA,NA,100.2,NA,NA,97.67,15.9,1.564,440,447
NA,2024-05-10T10:30:00Z,0.28,NA,NA,NA,92.1,NA,NA,97.69,16.1,1.546,438,447
NA,2024-05-10T10:45:00Z,0.29,NA,NA,NA,86.6,NA,NA,97.71,16.1,1.538,438,447
NA,2024-05-10T11:00:00Z,0.29,NA,NA,NA,62.6,NA,NA,97.72,16,1.518,439,447
NA,2024-05-10T11:15:00Z,0.26,NA,NA,NA,32,NA,NA,97.76,15.6,1.512,440,447
NA,2024-05-10T11:30:00Z,0.24,NA,NA,NA,66.3,NA,NA,97.79,15.2,1.482,467,447
NA,2024-05-10T11:45:00Z,0.2,NA,NA,NA,112.1,NA,NA,97.8,14.9,1.496,439,447
NA,2024-05-10T12:00:00Z,0.22,NA,NA,NA,147.6,NA,NA,97.81,15.2,1.505,438,447
NA,2024-05-10T12:15:00Z,0.26,NA,NA,NA,212,NA,NA,97.82,15.6,1.512,437,446
NA,2024-05-10T12:30:00Z,0.38,NA,NA,NA,361.1,NA,NA,97.8,16.5,1.497,435,445
NA,2024-05-10T12:45:00Z,0.4,NA,NA,NA,172.3,NA,NA,97.81,16.4,1.464,436,446
NA,2024-05-10T13:00:00Z,0.41,NA,NA,NA,230.3,NA,NA,97.82,16.4,1.461,436,445
NA,2024-05-10T13:15:00Z,0.42,NA,NA,NA,175.4,NA,NA,97.83,16.5,1.457,436,445
NA,2024-05-10T13:30:00Z,0.39,NA,NA,NA,61.7,NA,NA,97.86,15.9,1.415,437,446
NA,2024-05-10T13:45:00Z,0.35,NA,NA,NA,108.8,NA,NA,97.87,15.4,1.399,437,446
NA,2024-05-10T14:00:00Z,0.33,NA,NA,NA,67.6,NA,NA,97.9,15.4,1.415,437,446
NA,2024-05-10T14:15:00Z,0.26,NA,NA,NA,97,NA,NA,97.93,14.4,1.388,437,446
NA,2024-05-10T14:30:00Z,0.27,NA,NA,NA,175.2,NA,NA,97.93,14.7,1.404,437,446
NA,2024-05-10T14:45:00Z,0.29,NA,NA,NA,98.5,NA,NA,97.94,14.9,1.403,437,446
