Timestamp,Atmos Pressure,Vapor Pressure,VPD,Air TempC,Solar,Wetness Level 1,Wetness Level 2,Vapor.Pressure,Air.TempC,Atmos.Pressure,Wetness.Level.1,Wetness.Level.2
2024-04-14T19:00:00Z,97.04,0.711,3.07,28,39.4,427,438,NA,NA,NA,NA,NA
2024-04-14T19:15:00Z,97.03,0.722,3.03,27.9,33.3,427,438,NA,NA,NA,NA,NA
2024-04-14T19:30:00Z,97.04,0.727,2.98,27.6,24.7,428,438,NA,NA,NA,NA,NA
2024-04-14T19:45:00Z,97.05,0.722,2.92,27.4,13.9,428,438,NA,NA,NA,NA,NA
2024-04-14T20:00:00Z,97.05,0.711,2.87,27.1,8.1,428,438,NA,NA,NA,NA,NA
2024-04-14T20:15:00Z,97.06,0.717,2.78,26.7,0.9,428,438,NA,NA,NA,NA,NA
2024-04-14T20:30:00Z,97.06,0.714,2.73,26.4,0,428,438,NA,NA,NA,NA,NA
2024-04-14T20:45:00Z,97.07,0.717,2.65,26.1,0,428,438,NA,NA,NA,NA,NA
2024-04-14T21:00:00Z,97.09,0.715,2.59,25.7,0,428,438,NA,NA,NA,NA,NA
2024-04-14T21:15:00Z,97.1,0.72,2.55,25.5,0,428,438,NA,NA,NA,NA,NA
2024-04-14T21:30:00Z,97.12,0.725,2.48,25.2,0,428,438,NA,NA,NA,NA,NA
2024-04-14T21:45:00Z,97.15,0.726,2.42,24.9,0,428,438,NA,NA,NA,NA,NA
2024-04-14T22:00:00Z,97.16,0.725,2.36,24.6,0,429,438,NA,NA,NA,NA,NA
2024-04-14T22:15:00Z,97.18,0.722,2.32,24.3,0,429,438,NA,NA,NA,NA,NA
2024-04-14T22:30:00Z,97.2,0.727,2.28,24.2,0,429,438,NA,NA,NA,NA,NA
2024-04-14T22:45:00Z,97.21,0.729,2.22,23.8,0,429,438,NA,NA,NA,NA,NA
2024-04-14T23:00:00Z,97.22,0.737,2.18,23.6,0,429,438,NA,NA,NA,NA,NA
2024-04-14T23:15:00Z,97.23,0.748,2.09,23.2,0,429,438,NA,NA,NA,NA,NA
2024-04-14T23:30:00Z,97.23,0.752,2.05,22.9,0,429,438,NA,NA,NA,NA,NA
2024-04-14T23:45:00Z,97.24,0.753,2.03,22.9,0,429,438,NA,NA,NA,NA,NA
2024-04-15T00:00:00Z,97.25,0.763,1.98,22.6,0,429,439,NA,NA,NA,NA,NA
2024-04-15T00:15:00Z,97.26,0.772,1.92,22.3,0,429,438,NA,NA,NA,NA,NA
2024-04-15T00:30:00Z,97.26,0.788,1.87,22.1,0,430,439,NA,NA,NA,NA,NA
2024-04-15T00:45:00Z,97.26,0.805,1.83,21.9,0,429,439,NA,NA,NA,NA,NA
2024-04-15T01:00:00Z,97.26,0.818,1.78,21.7,0,430,439,NA,NA,NA,NA,NA
2024-04-15T01:15:00Z,97.26,0.829,1.74,21.5,0,430,439,NA,NA,NA,NA,NA
2024-04-15T01:30:00Z,97.25,0.84,1.73,21.5,0,430,439,NA,NA,NA,NA,NA
2024-04-15T01:45:00Z,97.23,0.848,1.68,21.3,0,430,439,NA,NA,NA,NA,NA
2024-04-15T02:00:00Z,97.22,0.855,1.63,21,0,430,439,NA,NA,NA,NA,NA
2024-04-15T02:15:00Z,97.22,0.86,1.58,20.7,0,430,439,NA,NA,NA,NA,NA
2024-04-15T02:30:00Z,97.22,0.87,1.54,20.5,0,430,439,NA,NA,NA,NA,NA
2024-04-15T02:45:00Z,97.21,0.876,1.52,20.4,0,430,439,NA,NA,NA,NA,NA
2024-04-15T03:00:00Z,97.21,0.886,1.46,20.1,0,431,440,NA,NA,NA,NA,NA
2024-04-15T03:15:00Z,97.21,0.895,1.39,19.6,0,431,440,NA,NA,NA,NA,NA
2024-04-15T03:30:00Z,97.22,0.9,1.37,19.5,0,430,440,NA,NA,NA,NA,NA
2024-04-15T03:45:00Z,97.22,0.908,1.32,19.2,0,431,440,NA,NA,NA,NA,NA
2024-04-15T04:00:00Z,97.23,0.914,1.28,19,0,431,440,NA,NA,NA,NA,NA
2024-04-15T04:15:00Z,97.24,0.923,1.27,19,0,431,440,NA,NA,NA,NA,NA
2024-04-15T04:30:00Z,97.25,0.927,1.29,19.1,0,431,440,NA,NA,NA,NA,NA
2024-04-15T04:45:00Z,97.26,0.931,1.31,19.3,0,431,440,NA,NA,NA,NA,NA
2024-04-15T05:00:00Z,97.26,0.932,1.29,19.2,0,431,440,NA,NA,NA,NA,NA
2024-04-15T05:15:00Z,97.27,0.937,1.32,19.4,0,431,440,NA,NA,NA,NA,NA
2024-04-15T05:30:00Z,97.29,0.943,1.28,19.2,0,431,440,NA,NA,NA,NA,NA
2024-04-15T05:45:00Z,97.29,0.951,1.28,19.2,0,431,441,NA,NA,NA,NA,NA
2024-04-15T06:00:00Z,97.31,0.963,1.27,19.3,0,431,440,NA,NA,NA,NA,NA
2024-04-15T06:15:00Z,97.31,0.977,1.24,19.1,0,431,441,NA,NA,NA,NA,NA
2024-04-15T06:30:00Z,97.31,0.984,1.18,18.7,0,431,441,NA,NA,NA,NA,NA
2024-04-15T06:45:00Z,97.32,0.993,1.14,18.6,0,431,441,NA,NA,NA,NA,NA
2024-04-15T07:00:00Z,97.33,0.999,1.07,18.1,0,432,441,NA,NA,NA,NA,NA
2024-04-15T07:15:00Z,97.35,1.002,1.02,17.7,6.2,432,441,NA,NA,NA,NA,NA
2024-04-15T07:30:00Z,97.38,1.011,1.01,17.7,10.4,431,441,NA,NA,NA,NA,NA
2024-04-15T07:45:00Z,97.39,1.018,1.02,17.8,19,431,441,NA,NA,NA,NA,NA
2024-04-15T08:00:00Z,97.4,1.017,1.13,18.6,30,431,441,NA,NA,NA,NA,NA
2024-04-15T08:15:00Z,97.41,1.029,1.16,18.9,47.6,431,441,NA,NA,NA,NA,NA
2024-04-15T08:30:00Z,97.41,1.034,1.22,19.4,84.2,431,441,NA,NA,NA,NA,NA
2024-04-15T08:45:00Z,97.41,1.047,1.28,19.9,96.7,431,441,NA,NA,NA,NA,NA
2024-04-15T09:00:00Z,97.42,1.069,1.29,20.2,180.7,430,440,NA,NA,NA,NA,NA
2024-04-15T09:15:00Z,97.42,1.105,1.34,20.8,317.7,430,440,NA,NA,NA,NA,NA
2024-04-15T09:30:00Z,97.41,1.139,1.36,21.1,192.3,430,440,NA,NA,NA,NA,NA
2024-04-15T09:45:00Z,97.41,1.185,1.35,21.3,171,430,440,NA,NA,NA,NA,NA
2024-04-15T10:00:00Z,97.4,1.237,1.39,21.9,381,429,440,NA,NA,NA,NA,NA
2024-04-15T10:15:00Z,97.4,1.304,1.43,22.5,231.4,430,440,NA,NA,NA,NA,NA
2024-04-15T10:30:00Z,97.41,1.335,1.38,22.4,293.3,430,441,NA,NA,NA,NA,NA
2024-04-15T10:45:00Z,97.42,1.37,1.46,23.1,403.2,429,440,NA,NA,NA,NA,NA
2024-04-15T11:00:00Z,97.44,1.396,1.45,23.2,300.8,430,441,NA,NA,NA,NA,NA
2024-04-15T11:15:00Z,97.44,1.402,1.43,23.2,331.8,430,441,NA,NA,NA,NA,NA
2024-04-15T11:30:00Z,97.43,1.429,1.47,23.5,253.1,430,441,NA,NA,NA,NA,NA
2024-04-15T11:45:00Z,97.42,1.437,1.52,23.8,798.3,427,440,NA,NA,NA,NA,NA
2024-04-15T12:00:00Z,97.4,1.461,1.65,24.7,712.5,427,440,NA,NA,NA,NA,NA
2024-04-15T12:15:00Z,97.39,1.475,1.72,25.2,766.1,428,440,NA,NA,NA,NA,NA
2024-04-15T12:30:00Z,97.37,1.478,1.75,25.3,658.3,429,441,NA,NA,NA,NA,NA
2024-04-15T12:45:00Z,97.36,1.488,1.68,25,733.9,428,440,NA,NA,NA,NA,NA
2024-04-15T13:00:00Z,97.35,1.518,1.85,26,644.9,428,440,NA,NA,NA,NA,NA
2024-04-15T13:15:00Z,97.34,1.515,1.81,25.8,711.4,428,440,NA,NA,NA,NA,NA
2024-04-15T13:30:00Z,97.31,1.534,1.9,26.4,340.9,428,440,NA,NA,NA,NA,NA
2024-04-15T13:45:00Z,97.29,1.53,1.95,26.6,607.2,427,440,NA,NA,NA,NA,NA
2024-04-15T14:00:00Z,97.28,1.522,1.98,26.7,476.1,428,440,NA,NA,NA,NA,NA
2024-04-15T14:15:00Z,97.28,1.533,2,26.9,749.6,427,440,NA,NA,NA,NA,NA
2024-04-15T14:30:00Z,97.26,1.551,2.1,27.4,800.5,427,440,NA,NA,NA,NA,NA
2024-04-15T14:45:00Z,97.26,1.551,2.13,27.6,716.5,427,440,NA,NA,NA,NA,NA
2024-04-15T15:00:00Z,97.25,1.544,2.15,27.6,621.3,428,440,NA,NA,NA,NA,NA
2024-04-15T15:15:00Z,97.25,1.529,2.13,27.5,237.9,428,440,NA,NA,NA,NA,NA
2024-04-15T15:30:00Z,97.24,1.546,2.26,28.1,473.5,427,439,NA,NA,NA,NA,NA
2024-04-15T15:45:00Z,97.23,1.535,2.27,28.1,161.7,427,440,NA,NA,NA,NA,NA
2024-04-15T16:00:00Z,97.23,1.539,2.38,28.6,146.1,428,440,NA,NA,NA,NA,NA
2024-04-15T16:15:00Z,97.22,1.527,2.27,28.1,221.9,428,440,NA,NA,NA,NA,NA
2024-04-15T16:30:00Z,97.2,1.546,2.44,28.9,288.6,427,439,NA,NA,NA,NA,NA
2024-04-15T16:45:00Z,97.2,1.542,2.43,28.9,182.6,428,440,NA,NA,NA,NA,NA
2024-04-15T17:00:00Z,97.22,1.537,2.3,28.3,81.5,429,440,NA,NA,NA,NA,NA
2024-04-15T17:15:00Z,97.23,1.531,2.29,28.2,89,428,440,NA,NA,NA,NA,NA
2024-04-15T17:30:00Z,97.22,1.528,2.35,28.4,87.2,428,440,NA,NA,NA,NA,NA
2024-04-15T17:45:00Z,97.23,1.534,2.35,28.5,78,428,440,NA,NA,NA,NA,NA
2024-04-15T18:00:00Z,97.23,1.529,2.4,28.6,72.1,429,440,NA,NA,NA,NA,NA
2024-04-15T18:15:00Z,97.23,1.511,2.39,28.5,89.9,428,440,NA,NA,NA,NA,NA
2024-04-15T18:30:00Z,97.22,1.506,2.44,28.7,60.2,428,440,NA,NA,NA,NA,NA
2024-04-15T18:45:00Z,97.23,1.505,2.44,28.7,47.8,429,440,NA,NA,NA,NA,NA
2024-04-15T19:00:00Z,97.23,1.505,2.4,28.6,34.4,429,440,NA,NA,NA,NA,NA
