...1,Timestamp,Vapor Pressure,Atmos Pressure,Air TempC,VPD,Solar,Wetness Level 1,Wetness Level 2,Air.TempC,Atmos.Pressure,Vapor.Pressure,Wetness.Level.1,Wetness.Level.2
NA,2024-05-10T04:15:00Z,NA,NA,NA,0.12,0,NA,NA,14.8,96.58,1.559,447,441
NA,2024-05-10T04:30:00Z,NA,NA,NA,0.1,0,NA,NA,14.5,96.57,1.543,449,444
NA,2024-05-10T04:45:00Z,NA,NA,NA,0.08,0,NA,NA,14.3,96.58,1.55,449,444
NA,2024-05-10T05:00:00Z,NA,NA,NA,0.06,0,NA,NA,14.2,96.58,1.558,448,443
NA,2024-05-10T05:15:00Z,NA,NA,NA,0.05,0,NA,NA,14.2,96.57,1.561,448,444
NA,2024-05-10T05:30:00Z,NA,NA,NA,0.05,0,NA,NA,14.1,96.55,1.558,451,445
NA,2024-05-10T05:45:00Z,NA,NA,NA,0.04,0,NA,NA,13.9,96.54,1.538,451,446
NA,2024-05-10T06:00:00Z,NA,NA,NA,0.04,0,NA,NA,13.8,96.54,1.537,452,447
NA,2024-05-10T06:15:00Z,NA,NA,NA,0.04,0,NA,NA,13.8,96.56,1.535,452,448
NA,2024-05-10T06:30:00Z,NA,NA,NA,0.04,0,NA,NA,13.8,96.58,1.544,449,446
NA,2024-05-10T06:45:00Z,NA,NA,NA,0.04,0,NA,NA,13.8,96.61,1.542,448,444
NA,2024-05-10T07:00:00Z,NA,NA,NA,0.04,9.9,NA,NA,13.8,96.62,1.542,447,440
NA,2024-05-10T07:15:00Z,NA,NA,NA,0.04,15.9,NA,NA,13.9,96.63,1.55,447,440
NA,2024-05-10T07:30:00Z,NA,NA,NA,0.04,29.5,NA,NA,14,96.63,1.564,446,440
NA,2024-05-10T07:45:00Z,NA,NA,NA,0.05,36.6,NA,NA,14.5,96.63,1.599,445,440
NA,2024-05-10T08:00:00Z,NA,NA,NA,0.07,37.9,NA,NA,14.5,96.63,1.583,445,440
NA,2024-05-10T08:15:00Z,NA,NA,NA,0.08,58.4,NA,NA,14.7,96.65,1.593,445,439
NA,2024-05-10T08:30:00Z,NA,NA,NA,0.14,195.6,NA,NA,15.3,96.65,1.6,441,437
NA,2024-05-10T08:45:00Z,NA,NA,NA,0.19,80.7,NA,NA,15.4,96.68,1.559,444,438
NA,2024-05-10T09:00:00Z,NA,NA,NA,0.21,51.1,NA,NA,15.1,96.71,1.504,444,439
NA,2024-05-10T09:15:00Z,NA,NA,NA,0.22,199,NA,NA,15.3,96.72,1.524,443,438
NA,2024-05-10T09:30:00Z,NA,NA,NA,0.24,86.4,NA,NA,15.8,96.72,1.554,444,438
NA,2024-05-10T09:45:00Z,NA,NA,NA,0.24,72.5,NA,NA,15.6,96.73,1.529,444,438
NA,2024-05-10T10:00:00Z,NA,NA,NA,0.24,66.7,NA,NA,15.4,96.72,1.504,444,438
NA,2024-05-10T10:15:00Z,NA,NA,NA,0.26,126.3,NA,NA,15.5,96.72,1.5,443,438
NA,2024-05-10T10:30:00Z,NA,NA,NA,0.28,118.7,NA,NA,15.6,96.74,1.486,443,438
NA,2024-05-10T10:45:00Z,NA,NA,NA,0.29,112.2,NA,NA,15.6,96.76,1.489,443,438
NA,2024-05-10T11:00:00Z,NA,NA,NA,0.28,77.8,NA,NA,15.4,96.78,1.476,446,438
NA,2024-05-10T11:15:00Z,NA,NA,NA,0.25,41.6,NA,NA,15,96.81,1.445,445,439
NA,2024-05-10T11:30:00Z,NA,NA,NA,0.23,86.2,NA,NA,14.4,96.83,1.41,460,439
NA,2024-05-10T11:45:00Z,NA,NA,NA,0.2,145.6,NA,NA,14.2,96.85,1.411,444,438
NA,2024-05-10T12:00:00Z,NA,NA,NA,0.23,186.6,NA,NA,14.7,96.86,1.442,443,438
NA,2024-05-10T12:15:00Z,NA,NA,NA,0.28,294.6,NA,NA,15.2,96.86,1.449,442,437
NA,2024-05-10T12:30:00Z,NA,NA,NA,0.39,655.2,NA,NA,16.3,96.85,1.456,440,436
NA,2024-05-10T12:45:00Z,NA,NA,NA,0.41,230,NA,NA,15.8,96.86,1.387,442,437
NA,2024-05-10T13:00:00Z,NA,NA,NA,0.43,272.3,NA,NA,16.3,96.87,1.424,442,437
NA,2024-05-10T13:15:00Z,NA,NA,NA,0.42,224.7,NA,NA,16.4,96.87,1.44,442,436
NA,2024-05-10T13:30:00Z,NA,NA,NA,0.38,81.1,NA,NA,15.4,96.9,1.369,443,438
NA,2024-05-10T13:45:00Z,NA,NA,NA,0.32,140.4,NA,NA,14.8,96.92,1.365,443,437
NA,2024-05-10T14:00:00Z,NA,NA,NA,0.31,88.1,NA,NA,14.7,96.94,1.362,443,438
NA,2024-05-10T14:15:00Z,NA,NA,NA,0.24,126.3,NA,NA,13.9,96.97,1.346,443,438
