ZL.ID,MC.ID,Zentracloud,Last.import
z6-26983,NL_GR,1,2024-08-23T12:15:00Z
z6-15957,NL_MC,1,2024-08-23T13:15:00Z
z6-15916,NL_UC,1,2024-08-23T10:15:00Z
z6-26980,NM_GR,1,2024-08-23T11:30:00Z
z6-15973,NM_MC,1,2024-08-23T10:00:00Z
z6-25669,NM_UC,1,2024-08-23T08:30:00Z
z6-26981,RD_GR,1,2024-08-23T11:30:00Z
z6-16009,RD_MC,1,2024-08-23T10:15:00Z
z6-15983,RD_UC,1,2024-08-23T14:00:00Z
z6-26979,SL_GR,1,2024-08-23T11:15:00Z
z6-26589,SL_MC,1,2024-08-21T17:00:00Z
z6-26584,SL_UC,1,2024-08-23T10:00:00Z
z6-26989,SM_GR,1,2024-07-10T00:00:00Z
z6-26585,SM_MC,1,2024-08-22T16:15:00Z
z6-26567,SM_UC,1,2024-08-23T10:30:00Z
