"Plot Title: NL_G"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10342594, SEN S/N: 10342594, LBL: Temp (C))","RH, % (LGR S/N: 10342594, SEN S/N: 10342594, LBL: RH (%))","DewPt, °C (LGR S/N: 10342594, SEN S/N: 10342594)","Max: Temperature, °C (LGR S/N: 10342594)","Min: Temperature, °C (LGR S/N: 10342594)"
1,05/20/24 07:00:00 PM,,,,24.195,24.195
2,05/20/24 07:01:43 PM,24.195,68.352,18.181,,
3,05/20/24 07:15:00 PM,,,,23.665,23.665
4,05/20/24 07:16:43 PM,23.665,71.726,18.397,,
5,05/20/24 07:30:00 PM,,,,23.040,23.040
6,05/20/24 07:31:43 PM,23.040,75.231,18.507,,
7,05/20/24 07:45:00 PM,,,,22.345,22.345
8,05/20/24 07:46:43 PM,22.345,77.572,18.287,,
9,05/20/24 08:00:00 PM,,,,21.700,21.700
10,05/20/24 08:01:43 PM,21.700,80.768,18.251,,
11,05/20/24 08:15:00 PM,,,,21.056,21.056
12,05/20/24 08:16:43 PM,21.056,84.354,18.251,,
13,05/20/24 08:30:00 PM,,,,20.579,20.579
14,05/20/24 08:31:43 PM,20.579,86.126,18.082,,
15,05/20/24 08:45:00 PM,,,,20.055,20.055
16,05/20/24 08:46:43 PM,20.055,88.140,17.895,,
17,05/20/24 09:00:00 PM,,,,19.603,19.603
18,05/20/24 09:01:43 PM,19.603,89.091,17.601,,
19,05/20/24 09:15:00 PM,,,,19.175,19.175
20,05/20/24 09:16:43 PM,19.175,90.632,17.419,,
21,05/20/24 09:30:00 PM,,,,18.747,18.747
22,05/20/24 09:31:43 PM,18.747,91.944,17.195,,
23,05/20/24 09:45:00 PM,,,,18.509,18.509
24,05/20/24 09:46:43 PM,18.509,92.443,17.034,,
25,05/20/24 10:00:00 PM,,,,18.176,18.176
26,05/20/24 10:01:43 PM,18.176,93.498,16.861,,
27,05/20/24 10:15:00 PM,,,,17.891,17.891
28,05/20/24 10:16:43 PM,17.891,94.189,16.678,,
29,05/20/24 10:30:00 PM,,,,17.677,17.677
30,05/20/24 10:31:43 PM,17.677,94.606,16.525,,
31,05/20/24 10:45:00 PM,,,,17.463,17.463
32,05/20/24 10:46:43 PM,17.463,95.048,16.376,,
33,05/20/24 11:00:00 PM,,,,17.249,17.249
34,05/20/24 11:01:43 PM,17.249,95.826,16.274,,
35,05/20/24 11:15:00 PM,,,,17.034,17.034
36,05/20/24 11:16:43 PM,17.034,96.341,16.133,,
37,05/20/24 11:30:00 PM,,,,16.844,16.844
38,05/20/24 11:31:43 PM,16.844,96.446,15.957,,
39,05/20/24 11:45:00 PM,,,,16.701,16.701
40,05/20/24 11:46:43 PM,16.701,96.848,15.870,,
41,05/21/24 12:00:00 AM,,,,16.511,16.511
42,05/21/24 12:01:43 AM,16.511,96.926,15.691,,
43,05/21/24 12:15:00 AM,,,,16.272,16.272
44,05/21/24 12:16:43 AM,16.272,97.172,15.486,,
45,05/21/24 12:30:00 AM,,,,16.177,16.177
46,05/21/24 12:31:43 AM,16.177,97.301,15.409,,
47,05/21/24 12:45:00 AM,,,,15.963,15.963
48,05/21/24 12:46:43 AM,15.963,97.705,15.249,,
49,05/21/24 01:00:00 AM,,,,15.843,15.843
50,05/21/24 01:01:43 AM,15.843,97.775,15.140,,
51,05/21/24 01:15:00 AM,,,,15.700,15.700
52,05/21/24 01:16:43 AM,15.700,97.942,15.019,,
53,05/21/24 01:30:00 AM,,,,15.557,15.557
54,05/21/24 01:31:43 AM,15.557,98.133,14.901,,
55,05/21/24 01:45:00 AM,,,,15.414,15.414
56,05/21/24 01:46:43 AM,15.414,98.222,14.770,,
57,05/21/24 02:00:00 AM,,,,15.270,15.270
58,05/21/24 02:01:43 AM,15.270,98.361,14.645,,
59,05/21/24 02:15:00 AM,,,,15.175,15.175
60,05/21/24 02:16:43 AM,15.175,98.259,14.535,,
61,05/21/24 02:30:00 AM,,,,15.079,15.079
62,05/21/24 02:31:43 AM,15.079,98.335,14.450,,
63,05/21/24 02:45:00 AM,,,,14.864,14.864
64,05/21/24 02:46:43 AM,14.864,98.581,14.267,,
65,05/21/24 03:00:00 AM,,,,14.816,14.816
66,05/21/24 03:01:43 AM,14.816,98.720,14.238,,
67,05/21/24 03:15:00 AM,,,,14.768,14.768
68,05/21/24 03:16:43 AM,14.768,98.504,14.161,,
69,05/21/24 03:30:00 AM,,,,14.697,14.697
70,05/21/24 03:31:43 AM,14.697,98.738,14.120,,
71,05/21/24 03:45:00 AM,,,,14.553,14.553
72,05/21/24 03:46:43 AM,14.553,98.750,13.977,,
73,05/21/24 04:00:00 AM,,,,14.505,14.505
74,05/21/24 04:01:43 AM,14.505,98.787,13.934,,
75,05/21/24 04:15:00 AM,,,,14.385,14.385
76,05/21/24 04:16:43 AM,14.385,98.957,13.837,,
77,05/21/24 04:30:00 AM,,,,14.266,14.266
78,05/21/24 04:31:43 AM,14.266,99.076,13.732,,
