"Plot Title: Ridge_ground"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20298810, SEN S/N: 20298810)","RH, % (LGR S/N: 20298810, SEN S/N: 20298810)","DewPt, °C (LGR S/N: 20298810, SEN S/N: 20298810)"
1,03/21/24 06:00:00 AM,-0.620,32.477,-14.821
2,03/21/24 06:15:00 AM,-0.845,32.581,-14.981
3,03/21/24 06:30:00 AM,-1.100,32.588,-15.204
4,03/21/24 06:45:00 AM,-1.327,32.598,-15.401
5,03/21/24 07:00:00 AM,-0.902,37.934,-13.159
6,03/21/24 07:15:00 AM,3.985,43.367,-7.049
7,03/21/24 07:30:00 AM,12.074,36.281,-2.128
8,03/21/24 07:45:00 AM,16.177,28.470,-1.888
9,03/21/24 08:00:00 AM,17.843,26.266,-1.593
10,03/21/24 08:15:00 AM,18.533,25.780,-1.271
11,03/21/24 08:30:00 AM,19.103,25.721,-0.818
12,03/21/24 08:45:00 AM,19.555,25.484,-0.566
13,03/21/24 09:00:00 AM,19.270,26.306,-0.355
14,03/21/24 09:15:00 AM,17.701,25.584,-2.086
15,03/21/24 09:30:00 AM,5.591,35.249,-8.280
16,03/21/24 09:45:00 AM,1.262,46.117,-8.760
17,03/21/24 10:00:00 AM,1.453,46.802,-8.399
18,03/21/24 10:15:00 AM,4.350,45.637,-6.058
19,03/21/24 10:30:00 AM,6.433,43.294,-4.840
20,03/21/24 10:45:00 AM,7.945,41.147,-4.138
21,03/21/24 11:00:00 AM,6.940,39.224,-5.678
22,03/21/24 11:15:00 AM,5.898,36.981,-7.382
23,03/21/24 11:30:00 AM,8.045,36.667,-5.576
24,03/21/24 11:45:00 AM,7.770,36.607,-5.843
25,03/21/24 12:00:00 PM,10.736,33.324,-4.467
26,03/21/24 12:15:00 PM,11.419,28.184,-6.132
27,03/21/24 12:30:00 PM,8.668,30.362,-7.525
28,03/21/24 12:45:00 PM,8.070,30.148,-8.140
29,03/21/24 01:00:00 PM,8.270,29.292,-8.346
30,03/21/24 01:15:00 PM,10.124,29.123,-6.812
31,03/21/24 01:30:00 PM,9.879,27.700,-7.694
32,03/21/24 01:45:00 PM,9.780,26.612,-8.313
33,03/21/24 02:00:00 PM,10.980,25.882,-7.656
34,03/21/24 02:15:00 PM,10.590,25.490,-8.195
35,03/21/24 02:30:00 PM,10.687,25.002,-8.370
36,03/21/24 02:45:00 PM,11.686,24.910,-7.569
37,03/21/24 03:00:00 PM,13.522,23.443,-6.838
38,03/21/24 03:15:00 PM,13.882,22.463,-7.118
