"Plot Title: SL_G"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20061391, SEN S/N: 20061391, LBL: Temp)","RH, % (LGR S/N: 20061391, SEN S/N: 20061391, LBL: RH)","DewPt, °C (LGR S/N: 20061391, SEN S/N: 20061391)","Max: Temperature, °C (LGR S/N: 20061391)","Min: Temperature, °C (LGR S/N: 20061391)"
1,05/06/24 01:00:00 PM,21.294,92.364,19.795,21.294,21.294
2,05/06/24 01:15:00 PM,21.939,91.391,20.284,21.939,21.939
3,05/06/24 01:30:00 PM,21.652,88.491,19.533,21.652,21.652
4,05/06/24 01:45:00 PM,21.867,85.732,19.286,21.867,21.867
5,05/06/24 02:00:00 PM,22.178,84.969,19.462,22.178,22.178
6,05/06/24 02:15:00 PM,22.633,84.291,19.792,22.633,22.633
7,05/06/24 02:30:00 PM,23.016,84.684,20.238,23.016,23.016
8,05/06/24 02:45:00 PM,22.848,88.142,20.660,22.848,22.848
9,05/06/24 03:00:00 PM,22.657,84.855,19.913,22.657,22.657
10,05/06/24 03:15:00 PM,23.088,87.895,20.856,23.088,23.088
11,05/06/24 03:30:00 PM,22.561,88.074,20.364,22.561,22.561
12,05/06/24 03:45:00 PM,22.705,88.438,20.566,22.705,22.705
13,05/06/24 04:00:00 PM,22.944,89.127,20.917,22.944,22.944
14,05/06/24 04:15:00 PM,22.753,88.037,20.547,22.753,22.753
15,05/06/24 04:30:00 PM,23.665,81.787,20.359,23.665,23.665
16,05/06/24 04:45:00 PM,22.753,88.312,20.593,22.753,22.753
17,05/06/24 05:00:00 PM,22.369,88.469,20.240,22.369,22.369
18,05/06/24 05:15:00 PM,22.609,88.031,20.404,22.609,22.609
19,05/06/24 05:30:00 PM,22.705,87.860,20.471,22.705,22.705
20,05/06/24 05:45:00 PM,22.417,88.013,20.212,22.417,22.417
21,05/06/24 06:00:00 PM,22.082,89.059,20.052,22.082,22.082
22,05/06/24 06:15:00 PM,21.557,90.702,19.795,21.557,21.557
23,05/06/24 06:30:00 PM,21.199,92.018,19.646,21.199,21.199
24,05/06/24 06:45:00 PM,21.008,93.151,19.631,21.008,21.008
25,05/06/24 07:00:00 PM,20.627,82.726,17.547,20.627,20.627
26,05/06/24 07:15:00 PM,18.057,92.197,16.547,18.057,18.057
27,05/06/24 07:30:00 PM,17.843,94.019,16.606,17.843,17.843
28,05/06/24 07:45:00 PM,17.653,94.836,16.535,17.653,17.653
29,05/06/24 08:00:00 PM,17.463,95.309,16.413,17.463,17.463
30,05/06/24 08:15:00 PM,17.463,95.674,16.466,17.463,17.463
31,05/06/24 08:30:00 PM,17.344,96.007,16.395,17.344,17.344
32,05/06/24 08:45:00 PM,17.272,96.248,16.358,17.272,17.272
33,05/06/24 09:00:00 PM,17.272,96.456,16.387,17.272,17.272
34,05/06/24 09:15:00 PM,17.249,96.605,16.384,17.249,17.249
35,05/06/24 09:30:00 PM,17.201,96.774,16.361,17.201,17.201
36,05/06/24 09:45:00 PM,17.201,96.851,16.372,17.201,17.201
37,05/06/24 10:00:00 PM,17.201,96.955,16.386,17.201,17.201
38,05/06/24 10:15:00 PM,17.130,96.988,16.319,17.130,17.130
